datetime,open,high,low,close
2022-08-16 00:00:00,1778.69995,1779.73999,1777.63,1777.77002
2022-08-16 01:00:00,1777.78003,1780.67004,1776.92004,1779.55005
2022-08-16 02:00:00,1779.57996,1782.59998,1779.52002,1782.58997
2022-08-16 03:00:00,1782.62,1783.23999,1781.33997,1781.35999
2022-08-16 04:00:00,1781.37,1782.20996,1780.79004,1782.099976
2022-08-16 05:00:00,1782.099976,1782.23999,1780.46997,1781.69995
2022-08-16 06:00:00,1781.68994,1782.13,1779.70996,1780.58997
2022-08-16 07:00:00,1780.62,1780.80005,1776.030029,1776.079956
2022-08-16 08:00:00,1776.01001,1777.050049,1774.040039,1775.52002
2022-08-16 09:00:00,1775.55005,1777.15002,1775.030029,1775.80005
2022-08-16 10:00:00,1775.79004,1777.92004,1773.96997,1777.69995
2022-08-16 11:00:00,1777.68994,1777.82996,1775.38,1776.089966
2022-08-16 12:00:00,1776.089966,1778.64001,1771.44995,1771.78003
2022-08-16 13:00:00,1771.83997,1777.89001,1771.83997,1775.83997
2022-08-16 14:00:00,1775.88,1778.68005,1774.22998,1775.96997
2022-08-16 15:00:00,1775.92004,1777.62,1773.71997,1774.38
2022-08-16 16:00:00,1774.45996,1776.98999,1772.88,1776.31995
2022-08-16 17:00:00,1776.30005,1777.069946,1774.040039,1776.43005
2022-08-16 18:00:00,1776.44995,1777.31006,1775.060059,1777.15002
2022-08-16 19:00:00,1777.14001,1777.65002,1775.69995,1775.81995
2022-08-16 20:00:00,1775.92004,1776.079956,1775.12,1775.46997
2022-08-16 22:00:00,1775.71997,1776.12,1775.14001,1775.38
2022-08-16 23:00:00,1775.40002,1776.16003,1775.17004,1775.68994
2022-08-17 00:00:00,1775.69995,1775.69995,1773.94995,1774.77002
2022-08-17 01:00:00,1774.81006,1776.44995,1774.060059,1774.94995
2022-08-17 02:00:00,1774.89001,1777.01001,1774.89001,1776.34998
2022-08-17 03:00:00,1776.31006,1776.62,1774.87,1775.87
2022-08-17 04:00:00,1775.96997,1779.23999,1775.53003,1778.73999
2022-08-17 05:00:00,1778.71997,1781.76001,1778.050049,1781.76001
2022-08-17 06:00:00,1781.77002,1782.40002,1776.73999,1776.90002
2022-08-17 07:00:00,1776.89001,1777.48999,1773.56995,1773.63
2022-08-17 08:00:00,1773.62,1777.01001,1772.089966,1775.15002
2022-08-17 09:00:00,1775.29004,1775.29004,1772.65002,1773.60999
2022-08-17 10:00:00,1773.62,1774.59998,1771.26001,1772.060059
2022-08-17 11:00:00,1772.27002,1772.67004,1767.51001,1769.37
2022-08-17 12:00:00,1769.35999,1773.68005,1764.98999,1771.67004
2022-08-17 13:00:00,1771.63,1773.43994,1765.20996,1767.81995
2022-08-17 14:00:00,1767.87,1769.79004,1765.46997,1766.19995
2022-08-17 15:00:00,1766.089966,1766.51001,1761.41003,1762.14001
2022-08-17 16:00:00,1762.13,1763.31006,1759.85999,1762.57996
2022-08-17 17:00:00,1762.67004,1763.87,1761.17004,1761.73999
2022-08-17 18:00:00,1761.71997,1770.30005,1761.71997,1766.66003
2022-08-17 19:00:00,1766.65002,1767.93994,1764.26001,1764.41003
2022-08-17 20:00:00,1764.57996,1765.39001,1762.089966,1762.10999
2022-08-17 22:00:00,1761.87,1763.98999,1761.83997,1762.35999
2022-08-17 23:00:00,1762.35999,1765.089966,1762.35999,1764.96997
2022-08-18 00:00:00,1764.98999,1766.42004,1764.42004,1765.62
2022-08-18 01:00:00,1765.45996,1767.60999,1765.27002,1765.85999
2022-08-18 02:00:00,1765.87,1765.92004,1763.91003,1765.39001
2022-08-18 03:00:00,1765.35999,1765.60999,1761.93994,1762.43994
2022-08-18 04:00:00,1762.38,1763.48999,1761.73999,1763.37
2022-08-18 05:00:00,1763.37,1765.44995,1762.95996,1763.31006
2022-08-18 06:00:00,1763.26001,1763.51001,1760.97998,1761.56006
2022-08-18 07:00:00,1761.51001,1763.45996,1761.23999,1762.81006
2022-08-18 08:00:00,1762.81995,1766.31995,1762.68005,1766.26001
2022-08-18 09:00:00,1766.25,1769.15002,1765.42004,1768.98999
2022-08-18 10:00:00,1768.97998,1770.78003,1768.51001,1770.040039
2022-08-18 11:00:00,1770.040039,1772.47998,1769.42004,1770.57996
2022-08-18 12:00:00,1770.57996,1772.089966,1766.68005,1767.26001
2022-08-18 13:00:00,1767.23999,1769.98999,1762.73999,1765.83997
2022-08-18 14:00:00,1765.78003,1766.63,1761.98999,1762.29004
2022-08-18 15:00:00,1762.31995,1763.39001,1757.83997,1759.80005
2022-08-18 16:00:00,1760.040039,1760.040039,1756.56995,1757.23999
2022-08-18 17:00:00,1757.31995,1759.33997,1755.48999,1758.45996
2022-08-18 18:00:00,1758.55005,1759.88,1757.88,1759.63
2022-08-18 19:00:00,1759.71997,1761.31006,1759.040039,1759.66003
2022-08-18 20:00:00,1759.53003,1759.78003,1758.21997,1758.44995
2022-08-18 22:00:00,1759.48999,1759.60999,1757.37,1757.43005
2022-08-18 23:00:00,1757.48999,1759.26001,1757.31995,1758.46997
2022-08-19 00:00:00,1758.51001,1758.64001,1754.96997,1755.44995
2022-08-19 01:00:00,1755.51001,1757.67004,1753.67004,1754.64001
2022-08-19 02:00:00,1754.69995,1757.79004,1754.63,1757.56995
2022-08-19 03:00:00,1757.44995,1757.48999,1753.45996,1754.27002
2022-08-19 04:00:00,1754.35999,1754.35999,1751.85999,1753.17004
2022-08-19 05:00:00,1753.18005,1756.88,1752.31995,1755.73999
2022-08-19 06:00:00,1755.71997,1757.43994,1754.89001,1756.12
2022-08-19 07:00:00,1755.93005,1755.93005,1753.14001,1754.01001
2022-08-19 08:00:00,1754.01001,1754.56006,1751.93994,1754.18994
2022-08-19 09:00:00,1754.18994,1754.67004,1752.79004,1753.57996
2022-08-19 10:00:00,1753.41003,1753.41003,1749.84998,1751.31995
2022-08-19 11:00:00,1751.33997,1753.60999,1749.92004,1753.099976
2022-08-19 12:00:00,1753.01001,1757.59998,1749.94995,1756.43994
2022-08-19 13:00:00,1756.52002,1758.14001,1750.85999,1751.70996
2022-08-19 14:00:00,1751.60999,1752.53003,1745.88,1748.18005
2022-08-19 15:00:00,1748.10999,1750.54004,1747.15002,1749.15002
2022-08-19 16:00:00,1749.16003,1751.01001,1748.81006,1749.81995
2022-08-19 17:00:00,1749.96997,1750.31006,1748.31995,1749.70996
