datetime,open,high,low,close
2022-08-17,1775.97986,1782.63,1759.58496,1761.050049
2022-08-18,1761.625,1772.59497,1755.36829,1758.19556
2022-08-19,1759.29504,1759.88,1745.19495,1747.82898
2022-08-22,1747.045044,1749.3075,1727.505,1735.70496
2022-08-23,1736.40002,1754.2821,1730.51501,1747.67456
2022-08-24,1748.54504,1755.8844,1742.28503,1750.88818
2022-08-25,1751.54504,1765.92505,1749.70996,1758.43738
2022-08-26,1758.54504,1759.31494,1733.82996,1736.85999
2022-08-29,1736.19495,1745.63,1720.079956,1737.82373
2022-08-30,1738.36499,1740.92505,1720.85498,1723.5498
2022-08-31,1723.83008,1726.85999,1709.10498,1710.70496
2022-09-01,1711.094971,1711.81006,1688.34998,1696.089966
2022-09-02,1696.34998,1718.31006,1694.64001,1711.43994
2022-09-05,1712.995,1716.34497,1707.47498,1710.2063
2022-09-06,1710.56494,1727.245,1699.30005,1701.15308
2022-09-07,1701.60999,1719.81995,1690.90002,1717.69348
2022-09-08,1718.39502,1728.79504,1703.5,1707.27502
2022-09-09,1708.84497,1729.94495,1708.21997,1716.050049
2022-09-12,1717.045044,1735.37,1711.97498,1724.07019
2022-09-13,1724.75,1732.34497,1696.69995,1701.55396
2022-09-14,1701.85999,1707.495,1693.255,1695.79504
2022-09-15,1696.055054,1698.62,1660.035034,1663.74084
2022-09-16,1664.27002,1680.69495,1653.84998,1674.94482
2022-09-19,1675.44495,1680.16003,1659.67053,1675.77576
2022-09-20,1675.46997,1679.34497,1659.59998,1663.10889
2022-09-21,1663.67004,1688.15002,1654.14502,1673.73682
2022-09-22,1675.055054,1685.495,1655.52502,1670.53455
2022-09-23,1671.54504,1676.59497,1639.59497,1643.089966
2022-09-26,1645.39502,1650.02002,1620.80005,1621.5675
2022-09-27,1621.995,1642.94495,1621.77002,1628.80237
2022-09-28,1629.26001,1663.17004,1614.34998,1659.44495
2022-09-29,1659.88,1665.12,1641.050049,1660.29175
2022-09-30,1661.125,1675.56995,1658.92505,1659.67004
2022-10-03,1661.29504,1701.79504,1659.099976,1699.22253
2022-10-04,1699.39502,1729.73499,1694.73499,1726.24084
2022-10-05,1726.42493,1728.099976,1700.15002,1715.81055
2022-10-06,1716.060059,1726.094971,1706.52502,1710.84998
2022-10-07,1711.099976,1715.39502,1690.34998,1694.52002
2022-10-10,1696.79504,1700.33496,1665.30005,1667.95642
2022-10-11,1668.39502,1684.44495,1660.44995,1665.3075
2022-10-12,1666.495,1678.89502,1660.94995,1672.50525
2022-10-13,1673.29504,1682.84497,1642.25,1665.79724
2022-10-14,1665.89502,1672.015015,1639.89502,1641.75842
2022-10-17,1644.094971,1668.69495,1643.69495,1649.9447
2022-10-18,1650.495,1661.26501,1645.60999,1651.82727
2022-10-19,1651.995,1654.89502,1627.25,1628.48828
2022-10-20,1629.92993,1645.82996,1621.93005,1627.6637
2022-10-21,1628.099976,1659.080078,1617.20996,1656.66003
2022-10-24,1658.19495,1670.54504,1643.64001,1648.59998
2022-10-25,1649.69995,1662.89001,1637.81995,1652.52393
2022-10-26,1653.21497,1675.12,1649.14502,1664.4884
2022-10-27,1664.5,1671.089966,1654.80505,1662.93994
2022-10-28,1663.30005,1667.43994,1637.39001,1641.76001
2022-10-31,1643.69495,1645.79504,1631.76501,1633.12244
2022-11-01,1633.39514,1657.125,1630.92505,1647.5033
2022-11-02,1647.77002,1669.60498,1634.40002,1634.88696
2022-11-03,1635.80005,1641.32495,1616.17505,1629.15002
2022-11-04,1629.40002,1682.17383,1628.23499,1680.27002
2022-11-07,1681.29504,1682.084961,1666.43506,1674.68005
2022-11-08,1674.75,1717.31006,1664.32495,1712.52002
2022-11-09,1712.60498,1722.94495,1701.78503,1706.31995
2022-11-10,1706.41504,1757.52002,1703.32495,1754.86035
2022-11-11,1754.92004,1773.17004,1746.85498,1770.68994
2022-11-14,1771.41504,1775.35999,1752.89502,1771.80005
2022-11-15,1771.875,1786.68005,1766.56494,1778.25
2022-11-16,1778.33997,1785.495,1769.82495,1773.77002
2022-11-17,1773.82251,1775.20496,1754.125,1760.87
2022-11-18,1760.745,1767.98499,1747.035034,1749.73999
2022-11-21,1750.82495,1753.51501,1732.030029,1737.80811
2022-11-22,1738.48499,1749.98499,1736.61499,1740.23999
2022-11-23,1740.29504,1753.53821,1728.25,1749.28003
2022-11-24,1749.52502,1759.084961,1749.025024,1754.95996
2022-11-25,1756.4801,1761.57996,1745.45996,1756.14001
2022-11-28,1755.0,1764.084961,1739.14001,1740.75
2022-11-29,1740.81995,1759.32996,1738.97998,1749.72998
2022-11-30,1749.82495,1770.38501,1744.40503,1768.44995
2022-12-01,1768.53503,1804.31995,1767.36499,1802.89001
2022-12-02,1803.15002,1804.93005,1778.255,1797.81995
2022-12-05,1797.91504,1810.33496,1765.32495,1768.39001
2022-12-06,1768.66504,1781.46497,1765.72266,1770.91003
2022-12-07,1771.13501,1790.92004,1768.32495,1786.21997
2022-12-08,1786.28503,1795.17505,1780.95996,1789.22998
2022-12-09,1789.30005,1806.44995,1787.96497,1796.63
2022-12-12,1797.34998,1798.0,1777.21997,1781.15002
2022-12-13,1781.20996,1824.87,1779.81494,1810.29004
2022-12-14,1810.48999,1814.18506,1796.074951,1807.27002
2022-12-15,1807.39502,1809.094971,1772.0,1776.66003
2022-12-16,1776.72498,1794.68506,1773.88501,1792.33997
2022-12-19,1793.125,1799.10498,1783.47998,1787.43994
2022-12-20,1787.48999,1821.59998,1784.21497,1817.40845
2022-12-21,1818.055054,1824.38501,1811.23999,1814.13
2022-12-22,1814.20496,1821.099976,1784.11499,1792.56995
2022-12-23,1792.64502,1803.59998,1789.61621,1797.91003
2022-12-26,1798.57495,1798.77991,1797.61462,1797.61462
2022-12-27,1796.67004,1833.3927,1796.20496,1813.93005
2022-12-28,1814.0,1815.18005,1796.56006,1804.089966
2022-12-29,1804.15503,1820.52002,1802.02002,1814.89001
2022-12-30,1815.14001,1826.73499,1809.83997,1824.40002
2023-01-02,1823.85498,1823.94495,1823.68994,1823.68994
2023-01-03,1826.13501,1850.69495,1824.42004,1839.48999
2023-01-04,1839.51001,1865.495,1835.92004,1854.089966
2023-01-05,1854.19495,1859.35999,1824.67505,1833.18994
2023-01-06,1833.26501,1870.37,1830.53003,1865.70996
2023-01-09,1865.45496,1881.80005,1864.58997,1871.58997
2023-01-10,1871.66003,1881.035034,1867.37,1877.27002
2023-01-11,1877.29504,1887.089966,1866.75,1876.38
2023-01-12,1876.42505,1901.875,1873.63501,1896.85999
2023-01-13,1897.030029,1922.23999,1891.80005,1920.20996
2023-01-16,1920.38501,1929.24219,1910.73999,1918.00061035
2023-01-17,1917.81494,1919.82996,1903.505,1908.39001
2023-01-18,1908.46497,1926.29504,1896.55957,1903.76001
2023-01-19,1903.83496,1935.40002,1900.48499,1931.39001
2023-01-20,1931.47998,1937.71814,1920.57642,1926.57397
2023-01-23,1926.20496,1935.69055,1911.43506,1931.30005
2023-01-24,1931.35498,1942.92505,1916.82495,1937.44995
2023-01-25,1937.53503,1948.12,1919.88,1945.93005
2023-01-26,1946.094971,1949.27087,1918.745,1928.98999
2023-01-27,1929.40002,1935.14502,1916.64502,1927.33997
2023-01-30,1928.39502,1934.61499,1920.58496,1922.51733
2023-01-31,1922.81995,1931.15417,1900.745,1927.88
2023-02-01,1927.92004,1954.63,1920.56006,1950.42004
2023-02-02,1950.53503,1959.76941,1911.3291,1912.37
2023-02-03,1912.57495,1918.71997,1861.41492,1865.53003
2023-02-06,1865.16504,1881.53503,1860.38501,1867.35999
2023-02-07,1867.38501,1884.44775,1864.93518,1873.81006
2023-02-08,1874.045044,1886.28369,1867.40149,1875.58997
2023-02-09,1875.64001,1890.68994,1858.89014,1861.39001
2023-02-10,1861.68005,1872.31494,1852.69019,1864.67004
2023-02-13,1865.69495,1866.83447,1850.4176,1853.39001
2023-02-14,1853.67004,1871.030029,1843.19995,1854.29004
2023-02-15,1854.35498,1860.18188,1830.19995,1836.18994
2023-02-16,1836.56494,1845.45496,1827.18005,1837.43994
2023-02-17,1837.51501,1843.76501,1818.34497,1841.58997
2023-02-20,1842.73499,1847.85999,1837.09375,1841.14001
2023-02-21,1841.71497,1844.44495,1829.69995,1834.32324
2023-02-22,1834.70996,1846.255,1823.045044,1825.040039
2023-02-23,1825.12,1834.42505,1817.55005,1822.64001
