datetime,open,high,low,close
2024-07-15,1.088554,1.092192,1.088435,1.088554
2024-07-16,1.090156,1.090631,1.087216,1.090156
2024-07-17,1.090251,1.094715,1.089633,1.090251
2024-07-18,1.09402,1.094212,1.090536,1.09402
2024-07-19,1.090156,1.090156,1.087737,1.090156
2024-07-22,1.089918,1.090156,1.08737,1.089918
2024-07-23,1.088981,1.090037,1.084446,1.088981
2024-07-24,1.085069,1.086649,1.082673,1.085069
2024-07-25,1.083952,1.086437,1.082931,1.083952
2024-07-26,1.085128,1.08685,1.084269,1.085128
2024-07-29,1.085376,1.087193,1.08031,1.085376
2024-07-30,1.081947,1.083776,1.079995,1.081947
2024-07-31,1.081607,1.085187,1.080871,1.081607
2024-08-01,1.082392,1.083776,1.07783,1.082392
2024-08-02,1.07876,1.092622,1.078295,1.07876
2024-08-05,1.091084,1.10074,1.089372,1.091084
2024-08-06,1.095098,1.096311,1.090465,1.095098
2024-08-07,1.092622,1.093637,1.090691,1.092622
2024-08-08,1.092813,1.094691,1.088234,1.092813
2024-08-09,1.091572,1.093135,1.090965,1.091572
2024-08-12,1.091381,1.093972,1.091334,1.091381
2024-08-13,1.093625,1.096251,1.091572,1.093625
2024-08-14,1.099699,1.10485,1.098829,1.099699
2024-08-15,1.10132,1.10169,1.09505,1.10132
2024-08-16,1.097273,1.10044,1.097273,1.097273
2024-08-19,1.1025,1.10726,1.10239,1.1025
2024-08-20,1.10865,1.11173,1.10725,1.10865
2024-08-21,1.11279,1.11483,1.11056,1.11279
2024-08-22,1.11554,1.11575,1.10993,1.11554
2024-08-23,1.11172,1.1196,1.11068,1.11172
2024-08-26,1.11879,1.12011,1.11529,1.11879
2024-08-27,1.11647,1.11796,1.11513,1.11647
2024-08-28,1.11779,1.11819,1.11054,1.11779
2024-08-29,1.1125,1.11402,1.10563,1.1125
2024-08-30,1.10805,1.10957,1.1054,1.10805
2024-09-02,1.10448,1.10776,1.10425,1.10448
2024-09-03,1.10675,1.10705,1.10338,1.10675
2024-09-04,1.10489,1.1094,1.10408,1.10489
2024-09-05,1.10805,1.11211,1.10752,1.10805
2024-09-06,1.11111,1.11496,1.10672,1.11111
2024-09-09,1.10872,1.10914,1.1035,1.10872
2024-09-10,1.10375,1.10503,1.10162,1.10375
2024-09-11,1.1021,1.1055,1.10028,1.1021
2024-09-12,1.10109,1.10475,1.10065,1.10109
2024-09-13,1.10779,1.11025,1.1074,1.10779
2024-09-16,1.10884,1.11354,1.10871,1.10884
2024-09-17,1.11295,1.11462,1.11131,1.11295
2024-09-18,1.11231,1.11408,1.11091,1.11231
2024-09-19,1.11148,1.11807,1.10705,1.11148
2024-09-20,1.1162,1.11817,1.11373,1.1162
2024-09-23,1.11608,1.11682,1.10849,1.11608
2024-09-24,1.11117,1.11635,1.1104,1.11117
2024-09-25,1.11912,1.12124,1.11417,1.11912
2024-09-26,1.1131,1.11896,1.11268,1.1131
2024-09-27,1.11772,1.11998,1.11266,1.11772
2024-09-30,1.11698,1.12084,1.11361,1.11698
2024-10-01,1.11366,1.11458,1.10611,1.11366
2024-10-02,1.10639,1.10822,1.10341,1.10639
2024-10-03,1.10485,1.10485,1.10096,1.10485
2024-10-04,1.10356,1.104,1.095614,1.10356
2024-10-07,1.097454,1.098503,1.095554,1.097454
2024-10-08,1.097574,1.099747,1.096167,1.097574
2024-10-09,1.097574,1.098056,1.094068,1.097574
2024-10-10,1.094331,1.095446,1.091405,1.094331
2024-10-11,1.093386,1.095422,1.092741,1.093386
2024-10-14,1.092538,1.093972,1.090572,1.092538
2024-10-15,1.090917,1.091822,1.088578,1.090917
2024-10-16,1.088412,1.090156,1.086815,1.088412
2024-10-17,1.086248,1.086992,1.081385,1.086248
2024-10-18,1.082954,1.086366,1.082825,1.082954
2024-10-21,1.086862,1.086957,1.082111,1.086862
2024-10-22,1.081783,1.083776,1.080194,1.081783
2024-10-23,1.079727,1.080847,1.076264,1.079727
2024-10-24,1.078051,1.081023,1.077157,1.078051
2024-10-25,1.082415,1.084246,1.081186,1.082415
2024-10-28,1.079657,1.08272,1.078272,1.079657
2024-10-29,1.081677,1.082626,1.077041,1.081677
2024-10-30,1.082064,1.086673,1.080999,1.082064
2024-10-31,1.085918,1.088838,1.084505,1.085918
2024-11-01,1.088613,1.090405,1.084846,1.088613
2024-11-04,1.087453,1.091584,1.087039,1.087453
2024-11-05,1.087406,1.09218,1.087335,1.087406
2024-11-06,1.093446,1.093446,1.068376,1.093446
2024-11-07,1.073307,1.082603,1.071409,1.073307
2024-11-08,1.079517,1.079739,1.071042,1.079517
2024-11-11,1.07149,1.072846,1.06288,1.07149
2024-11-12,1.066439,1.066439,1.059704,1.066439
2024-11-13,1.061673,1.064906,1.055977,1.061673
2024-11-14,1.056412,1.058089,1.049924,1.056412
2024-11-15,1.053008,1.059165,1.052443,1.053008
2024-11-18,1.053375,1.058649,1.053119,1.053375
2024-11-19,1.05949,1.060108,1.052853,1.05949
2024-11-20,1.06076,1.061233,1.050851,1.06076
2024-11-21,1.054619,1.055743,1.046912,1.054619
2024-11-22,1.046934,1.049869,1.033987,1.046934
2024-11-25,1.047987,1.052964,1.044954,1.047987
2024-11-26,1.04443,1.054385,1.042731,1.04443
2024-11-27,1.04912,1.058347,1.047548,1.04912
2024-11-28,1.056245,1.056524,1.05292,1.056245
2024-11-29,1.056301,1.059547,1.054296,1.056301
2024-12-02,1.054574,1.054574,1.046222,1.054507
2024-12-03,1.050122,1.053031,1.048185,1.050122
2024-12-04,1.051083,1.054007,1.047395,1.051083
2024-12-05,1.051414,1.058828,1.050895,1.051414
2024-12-06,1.05856,1.062643,1.054608,1.05856
2024-12-09,1.056546,1.059277,1.053308,1.056546
2024-12-10,1.05552,1.056747,1.050034,1.05552
2024-12-11,1.053297,1.054074,1.048163,1.053297
2024-12-12,1.050685,1.052997,1.046485,1.050685
2024-12-13,1.047406,1.052299,1.045435,1.047406
2024-12-16,1.051005,1.05241,1.047504,1.051005
2024-12-17,1.051735,1.053286,1.047998,1.051735
2024-12-18,1.049505,1.051525,1.046781,1.049505
2024-12-19,1.035025,1.04222,1.035025,1.035025
2024-12-20,1.036495,1.043308,1.034426,1.036495
2024-12-23,1.043308,1.044823,1.038594,1.043308
2024-12-24,1.040583,1.041124,1.038745,1.040583
2024-12-25,1.040258,1.043297,1.04015,1.040258
2024-12-26,1.039955,1.042535,1.039145,1.039955
2024-12-27,1.042318,1.044495,1.040669,1.042318
2024-12-30,1.042938,1.04585,1.03742,1.042938
2024-12-31,1.040615,1.042427,1.034854,1.040615
2025-01-02,1.035186,1.03756,1.023185,1.035186
2025-01-03,1.026821,1.030535,1.026546,1.026821
2025-01-06,1.030535,1.043504,1.029633,1.030535
2025-01-07,1.038637,1.043623,1.035947,1.038637
2025-01-08,1.034554,1.03584,1.027675,1.034554
2025-01-09,1.03147,1.032311,1.028616,1.03147
2025-01-10,1.02976,1.031194,1.022119,1.02976
2025-01-13,1.024443,1.025021,1.018382,1.024443
2025-01-14,1.026525,1.030397,1.023971,1.026525
2025-01-15,1.030684,1.035025,1.027063,1.030684
2025-01-16,1.029527,1.031151,1.026378,1.029527
2025-01-17,1.030195,1.032972,1.026652,1.030195
